id,address,balance,received,meta,firstInput,lastOutput
87,19c5XRo4FXiibaVMA4TPmtRFjqphJK3rZr,3250.0,5250.0,,2010-04-24,2010-09-18
88,1PTYXwamXXgQoAhDbmUf98rY2Pg1pYXhin,3233.17,3233.17,,2010-02-17,
89,179GWpkZDRc1aQaHrNHd5tjdkvc3WzMtTq,3200.0,3305.0,,2010-07-11,2010-07-18
90,17w1xrZgDmUyJGsr5mEtgz99KSSB1sJToG,3100.0,3100.0,,2010-09-03,
91,15dPNo2wZZ7JFv53Dm6N3BiYUFSvtb86CJ,3005.0,3005.0,,2010-06-28,
92,1MdLNu2ePiegM9kqvc4B1smdqWgT4RDRR9,3005.0,3019.3,,2010-05-27,2010-06-03
93,15GikJHCnvb8whVoUweHRb6wxBMJouUjDU,3000.0,3000.0,,2010-09-13,
94,1GiGT9yeDmB47fhKMGBYo5GBDZmaPnph1f,3000.0,3056.99,,2010-06-17,2010-09-06
95,1KdwDWvHikd817FktPXuK2dhNZSThizqao,3000.0,3000.0,,2010-09-15,
96,1JyEmxiMso2RsFVfBcCa616npBvGgxiBX,2759.26,17695.12,,2010-03-15,2010-09-15
97,1CT1unY6BnSwRAiqqicKzmt7cpiiCVXNoV,2750.0,2750.0,,2010-03-26,
98,1JvVuxYpUT12oykTHSYtUE3QXDHfxxmMBN,2700.0,2850.0,,2010-08-31,2010-08-31
99,1HgUy7j9cjAiALFHjjv6nTSNy8ZCTqZC7L,2696.22,2696.22,,2010-09-15,
100,1CgzTswm23ctLiVrUkHcDmF5WtFuRKkvAw,2650.03,2650.03,,2010-02-19,
101,1CPa88r7W4DKhWfX7gaehBdxUDxg4rQsy5,2600.0,2600.0,,2010-09-07,
102,1JaPNwMXt2AuVkWmkUHbsw78MbGorTfmm2,2545.52,3431.52,,2010-07-04,2010-09-18
103,1Gb6eNBXKxQHSq8PUiQxPxM1SRZV3UxsKP,2509.66,2509.66,,2010-07-07,
104,113A9Fv1qkHkJHHrUUyeyUqoeyxoSf3XnA,2500.0,3550.0,,2010-01-25,2010-02-22
105,14ccB2QFEKZnd1gLUtgr7vWg6JrMeXaQXK,2500.0,2561.06,,2010-04-08,2010-07-12
106,16gweVtAMFkF8YRBSo6UqVc662Xmvs3grk,2500.0,5850.0,,2010-05-17,2010-08-09
107,1AbaL4xzYyAHbuk2uMWp4zrTrB9cVMAq7H,2500.0,2500.0,,2010-07-23,
108,1GDCm2b3kp8AK1sbcNNjiGtaEHTH3aZh8D,2500.0,5000.0,,2010-07-15,2010-07-19
109,1D41SWJHaERtT69tarXF9Mxi8REU45FT53,2450.05,2450.05,,2010-07-19,
110,1As5cFDjhfNmqCw7EQVDF7KBYNKpGeSrnf,2450.0,2525.0,,2009-05-04,2010-07-21
111,1CNqP17YbHGEDKrM58ZavrzN5jzGnxXjsT,2422.28,2422.28,,2010-09-08,
112,13kndzuZ7XmWh3WboL6nFp7gpYj4poGuJt,2376.9500004,4128.9900004,,2010-07-12,2010-08-21
113,18zCPqv7iR5LQkEYXkVNhD2BqviPFTjLqZ,2320.41,2320.41,,2010-07-15,
114,18KiH4iBn5VjtiwGyjgAFsEBLn1A8qTauh,2305.43,2305.43,,2010-07-13,
115,1N6cJEdLm7KSg1jRXTYKv7iYkRtzFLKNDH,2250.0,2250.0,,2009-04-20,
116,1HjdiADVHew97yM8z4Vqs4iPwMyQHkkuhj,2200.0,2200.0,,2010-02-06,
117,19Us2zWfN7QQvNspbDQpNDUHfzipcEQbeK,2105.9,2105.9,,2010-09-06,
118,12Y6gmWMCXHQ4b3Z6hEVUB6xtbRvLcQZdX,2100.0,2100.0,,2010-09-17,
119,13DyBwhpDw6152q1drbK2US5S3CdY1mRnU,2100.0,2100.0,,2010-07-19,
120,1PruBtFQwcRds2yD24moKDg8ToUC2StyaU,2100.0,2100.0,,2010-07-16,
121,1KfStKgzEp6dg8GemKjQjVoxwN7PorTf6V,2050.0,2050.0,,2010-09-02,
122,1JiZxcwHpivk35obqHUYbdNoE1BA8ty5TB,2006.15,2087.4,,2010-04-17,2010-04-24
123,12bn98dy6j4vK7t1TkWVPALs9dd3CKcDyS,2000.0,2000.0,,2010-09-22,
124,131xiMCoUgeMhqNF4VxLTebnLSXr8vC9WJ,2000.0,2000.0,,2010-09-16,
125,13ifPJfLi9jpQedVC7UhTE1ghqCksKSMqJ,2000.0,2000.0,,2010-09-23,
126,141tFf7wKP8MpC48TYoWi7MeQcQVxFJ9LT,2000.0,2000.0,,2010-09-23,
127,14JxWUqFFa2vYaEi8g4GPSVTzVgxd321Ja,2000.0,2000.0,,2010-08-31,
128,14sYqzJbgUQzh7B7LGJSAqckcdEEivx96w,2000.0,2000.0,,2010-08-26,
129,16Bow9gwb6cg36bMHbanRW5zppSEKHVVLt,2000.0,2000.0,,2010-09-10,
130,16mm5nnbARCSVtMStCj9C7a3EJGBkuS8ph,2000.0,2000.0,,2010-08-15,
131,16nakjMrNLxtLpEuzrQTHcNYgZACujpsDM,2000.0,2000.0,,2010-08-22,
132,16wwvdwVjQhznUEwfVxJoidk2bjYDaW1sw,2000.0,2000.0,,2010-08-21,
133,17cpt8d1TLY8rgX9Y9Jekt7Cy1tnCs3fD1,2000.0,2000.0,,2010-09-03,
134,17ht5odf2QN9KgkzsNK2EfUAmrJojxeG35,2000.0,2000.0,,2010-09-12,
135,17xQBw1arM7igWwtajPF91zpXLiZh5n44w,2000.0,2000.0,,2010-08-28,
136,18Hji2i1hahpKj7zGmxaHjwePRg7Kr9uVr,2000.0,2000.0,,2010-09-13,
137,18XUbTfBm1TnjgMp2VF7sTDKhqAwEUianL,2000.0,2000.0,,2010-09-05,
138,18YWikhJ2FHRTQMvczcPoZahUGwQoWne63,2000.0,2000.0,,2010-09-21,
139,193PvhfxxaSjUAqJBD9ENUPtSprJ4hAXcp,2000.0,2000.0,,2010-08-26,
140,1A5QbAGpgSZXE9uiYLjPepJxBo66cGTJzy,2000.0,2000.0,,2010-08-12,
141,1BnUbGw5KUb2QD51nchkQDqS8mkpR5mUCp,2000.0,2000.0,,2010-09-19,
142,1BxbS3Dbk4bovfrUjbasnxMAPoA49L8vKG,2000.0,2000.0,,2010-08-11,
143,1C3gLqygTXZz7SGXWLCgXwBvsfENXDpcHw,2000.0,2000.0,,2010-09-08,
